Site,date,mean_daily
16396,2020-03-03,8.375949593484709
16396,2020-03-04,24.436275648306253
16396,2020-03-05,29.09090514288905
16396,2020-03-06,13.71743299383813
16396,2020-03-07,10.701126751370396
16396,2020-03-08,9.609359692602856
16396,2020-03-09,10.231486558145612
16396,2020-03-10,12.197002532631032
16396,2020-03-11,10.950406897081963
16396,2020-03-12,10.277771218410756
16396,2020-03-13,9.820053283842578
16396,2020-03-14,9.331168298739348
16396,2020-03-15,9.173640007886368
16396,2020-03-16,9.15680375979446
16396,2020-03-17,9.266745760221871
16396,2020-03-18,9.20166629588698
16396,2020-03-19,8.770060855166765
16396,2020-03-20,26.110676860073674
16396,2020-03-21,59.91565879601324
16396,2020-03-22,265.2551012137393
16396,2020-03-23,40.43183696812438
16396,2020-03-24,19.942491171976823
16396,2020-03-25,14.07635260279797
16396,2020-03-26,12.943906056104755
16396,2020-03-27,11.481393548493811
16396,2020-03-28,11.016414326190434
16396,2020-03-29,10.20763731854541
16396,2020-03-30,9.375331153138367
16396,2020-03-31,9.65006731291374
16396,2020-04-01,9.211869801183326
16396,2020-04-02,9.156765479068728
16396,2020-04-03,21.070438039563847
16396,2020-04-04,184.75130231903503
16396,2020-04-05,51.356474115196335
16396,2020-04-06,22.65575168791611
16396,2020-04-07,16.373884158207716
16396,2020-04-08,14.415040696904514
16396,2020-04-09,39.882148792535716
16396,2020-04-10,130.27060375902954
16396,2020-04-11,24.60315488178148
16396,2020-04-12,14.628206920656995
16396,2020-04-13,13.040781885965302
16396,2020-04-14,12.56348512555457
16396,2020-04-15,11.602238998925678
16396,2020-04-16,10.416365837571934
16396,2020-04-17,9.921623763115845
16396,2020-04-18,9.542067590177815
16396,2020-04-19,9.40918535295418
16396,2020-04-20,9.425371039441371
16396,2020-04-21,9.045335119093435
16396,2020-04-22,26.018521044590063
16396,2020-04-23,137.7766483798297
16396,2020-04-24,22.072199488053343
16396,2020-04-25,14.163611317391672
16396,2020-04-26,12.379761536210571
16396,2020-04-27,11.84757003370185
16396,2020-04-28,11.493582745237962
16396,2020-04-29,29.933188980047532
16396,2020-04-30,17.509534023811337
16396,2020-05-01,13.413834142498727
16396,2020-05-02,12.184952662581248
16396,2020-05-03,10.280751967714878
16396,2020-05-04,9.285533727716718
16396,2020-05-05,10.005321850403652
16396,2020-05-06,11.432457975781903
16396,2020-05-07,9.752615748685677
16396,2020-05-08,8.49391118240911
16396,2020-05-09,7.931013509326843
16396,2020-05-10,8.193899929448403
16396,2020-05-11,8.013300135198184
16396,2020-05-12,58.56457360811919
16396,2020-05-13,108.12558171589433
16396,2020-05-14,15.51880599435086
16396,2020-05-15,9.56764599829457
16396,2020-05-16,62.07870979550427
16396,2020-05-17,23.139999840553738
16396,2020-05-18,10.966552908157135
16396,2020-05-19,8.377077272951578
16396,2020-05-20,7.685160860033129
16396,2020-05-21,7.243429828748797
16396,2020-05-22,7.16587836734325
16396,2020-05-23,6.438638114053119
16396,2020-05-24,6.158628529429403
16396,2020-05-25,12.382143666860706
16396,2020-05-26,9.414256739181498
16396,2020-05-27,176.1035462763041
16396,2020-05-28,508.786500793241
16396,2020-05-29,33.94096648646222
16396,2020-05-30,13.505247347614302
16396,2020-05-31,10.009775188439612
16396,2020-06-01,9.086331442827957
16396,2020-06-02,8.668910637499145
16396,2020-06-03,8.564160662570812
16396,2020-06-04,8.265275590220526
16396,2020-06-05,8.405352443195381
16396,2020-06-06,7.644791413343092
16396,2020-06-07,7.704477242339423
16396,2020-06-08,7.6992313145415805
16396,2020-06-09,7.4303137237857255
16396,2020-06-10,7.021759128187624
16396,2020-06-11,7.387893717431837
16396,2020-06-12,7.170737416703666
16396,2020-06-13,6.6721012813028375
16396,2020-06-14,6.237938788157364
16396,2020-06-15,6.697733795365091
16396,2020-06-16,9.351984209843218
16396,2020-06-17,8.780818384396603
16396,2020-06-18,8.038149534913957
16396,2020-06-19,8.52553569778185
16396,2020-06-20,20.15691742797296
16396,2020-06-21,12.60182305124729
16396,2020-06-22,13.692944538389337
16396,2020-06-23,11.198538305229887
16396,2020-06-24,77.70637081160778
16396,2020-06-25,19.255760771380917
16396,2020-06-26,16.885790502904047
16396,2020-06-27,10.808387901914976
16396,2020-06-28,9.945219165598054
16396,2020-06-29,9.361062253321764
16396,2020-06-30,9.031287807438858
16396,2020-07-01,9.090257611493936
16396,2020-07-02,9.480266281621509
16396,2020-07-03,9.257655049110046
16396,2020-07-04,9.26897556503768
16396,2020-07-05,9.999636483609498
16396,2020-07-06,10.441226669961233
16396,2020-07-07,10.475657429157284
16396,2020-07-08,11.0681886769873
16396,2020-07-09,11.01509977452656
16396,2020-07-10,11.29404137492201
16396,2020-07-11,12.481298049337441
16396,2020-07-12,12.479870943468542
16396,2020-07-13,12.632419160773665
16396,2020-07-14,8.504527289824038
16396,2020-07-15,8.982715165140322
16396,2020-07-16,9.061191621614345
16396,2020-07-17,9.091865262452252
16396,2020-07-18,8.519111710478754
16396,2020-07-19,7.87947943160288
16396,2020-07-20,7.933571032082762
16396,2020-07-21,8.252840605376239
16396,2020-07-22,8.60735431124904
16396,2020-07-23,8.480693445347525
16396,2020-07-24,8.173436564662515
16396,2020-07-25,7.775572609733368
16396,2020-07-26,8.645014150854049
16396,2020-07-27,24.09610975741639
16396,2020-07-28,8.249911695635992
16396,2020-07-29,7.365302441059907
16396,2020-07-30,7.751646510362163
16396,2020-07-31,NA
16396,2020-08-01,NA
16396,2020-08-02,NA
16396,2020-08-03,NA
16396,2020-08-04,NA
16396,2020-08-05,NA
