agency_cd,site_no,datetime,135356_00060_00003,135356_00060_00003_cd
USGS,08109800,2000-01-01,19.0,A
USGS,08109800,2000-01-02,19.0,A
USGS,08109800,2000-01-03,20.0,A
USGS,08109800,2000-01-04,19.0,A
USGS,08109800,2000-01-05,19.0,A
USGS,08109800,2000-01-06,18.0,A
USGS,08109800,2000-01-07,28.0,A
USGS,08109800,2000-01-08,43.0,A
USGS,08109800,2000-01-09,61.0,A
USGS,08109800,2000-01-10,41.0,A
USGS,08109800,2000-01-11,29.0,A
USGS,08109800,2000-01-12,26.0,A
USGS,08109800,2000-01-13,24.0,A
USGS,08109800,2000-01-14,22.0,A
USGS,08109800,2000-01-15,20.0,A
USGS,08109800,2000-01-16,19.0,A
USGS,08109800,2000-01-17,20.0,A
USGS,08109800,2000-01-18,20.0,A
USGS,08109800,2000-01-19,20.0,A
USGS,08109800,2000-01-20,20.0,A
USGS,08109800,2000-01-21,20.0,A
USGS,08109800,2000-01-22,20.0,A
USGS,08109800,2000-01-23,22.0,A
USGS,08109800,2000-01-24,22.0,A
USGS,08109800,2000-01-25,22.0,A
USGS,08109800,2000-01-26,21.0,A
USGS,08109800,2000-01-27,22.0,A
USGS,08109800,2000-01-28,25.0,A
USGS,08109800,2000-01-29,31.0,A
USGS,08109800,2000-01-30,24.0,A
USGS,08109800,2000-01-31,23.0,A
USGS,08109800,2000-02-01,23.0,A
USGS,08109800,2000-02-02,23.0,A
USGS,08109800,2000-02-03,23.0,A
USGS,08109800,2000-02-04,23.0,A
USGS,08109800,2000-02-05,22.0,A
USGS,08109800,2000-02-06,21.0,A
USGS,08109800,2000-02-07,21.0,A
USGS,08109800,2000-02-08,21.0,A
USGS,08109800,2000-02-09,21.0,A
USGS,08109800,2000-02-10,21.0,A
USGS,08109800,2000-02-11,21.0,A
USGS,08109800,2000-02-12,22.0,A
USGS,08109800,2000-02-13,22.0,A
USGS,08109800,2000-02-14,21.0,A
USGS,08109800,2000-02-15,21.0,A
USGS,08109800,2000-02-16,21.0,A
USGS,08109800,2000-02-17,22.0,A
USGS,08109800,2000-02-18,22.0,A
USGS,08109800,2000-02-19,22.0,A
USGS,08109800,2000-02-20,21.0,A
USGS,08109800,2000-02-21,20.0,A
USGS,08109800,2000-02-22,20.0,A
USGS,08109800,2000-02-23,24.0,A
USGS,08109800,2000-02-24,26.0,A
USGS,08109800,2000-02-25,25.0,A
USGS,08109800,2000-02-26,24.0,A
USGS,08109800,2000-02-27,25.0,A
USGS,08109800,2000-02-28,24.0,A
USGS,08109800,2000-02-29,23.0,A
USGS,08109800,2000-03-01,22.0,A
USGS,08109800,2000-03-02,22.0,A
USGS,08109800,2000-03-03,21.0,A
USGS,08109800,2000-03-04,21.0,A
USGS,08109800,2000-03-05,21.0,A
USGS,08109800,2000-03-06,21.0,A
USGS,08109800,2000-03-07,22.0,A
USGS,08109800,2000-03-08,22.0,A
USGS,08109800,2000-03-09,22.0,A
USGS,08109800,2000-03-10,24.0,A
USGS,08109800,2000-03-11,26.0,A
USGS,08109800,2000-03-12,24.0,A
USGS,08109800,2000-03-13,21.0,A
USGS,08109800,2000-03-14,22.0,A
USGS,08109800,2000-03-15,24.0,A
USGS,08109800,2000-03-16,28.0,A
USGS,08109800,2000-03-17,80.0,A
USGS,08109800,2000-03-18,72.0,A
USGS,08109800,2000-03-19,45.0,A
USGS,08109800,2000-03-20,32.0,A
USGS,08109800,2000-03-21,28.0,A
USGS,08109800,2000-03-22,28.0,A
USGS,08109800,2000-03-23,28.0,A
USGS,08109800,2000-03-24,27.0,A
USGS,08109800,2000-03-25,27.0,A
USGS,08109800,2000-03-26,24.0,A
USGS,08109800,2000-03-27,23.0,A
USGS,08109800,2000-03-28,23.0,A
USGS,08109800,2000-03-29,22.0,A
USGS,08109800,2000-03-30,22.0,A
USGS,08109800,2000-03-31,22.0,A
USGS,08109800,2000-04-01,22.0,A
USGS,08109800,2000-04-02,23.0,A
USGS,08109800,2000-04-03,36.0,A
USGS,08109800,2000-04-04,54.0,A
USGS,08109800,2000-04-05,39.0,A
USGS,08109800,2000-04-06,29.0,A
USGS,08109800,2000-04-07,27.0,A
USGS,08109800,2000-04-08,22.0,A
USGS,08109800,2000-04-09,21.0,A
USGS,08109800,2000-04-10,20.0,A
USGS,08109800,2000-04-11,20.0,A
USGS,08109800,2000-04-12,57.0,A
USGS,08109800,2000-04-13,62.0,A
USGS,08109800,2000-04-14,44.0,A
USGS,08109800,2000-04-15,31.0,A
USGS,08109800,2000-04-16,28.0,A
USGS,08109800,2000-04-17,26.0,A
USGS,08109800,2000-04-18,24.0,A
USGS,08109800,2000-04-19,23.0,A
USGS,08109800,2000-04-20,22.0,A
USGS,08109800,2000-04-21,22.0,A
USGS,08109800,2000-04-22,21.0,A
USGS,08109800,2000-04-23,21.0,A
USGS,08109800,2000-04-24,21.0,A
USGS,08109800,2000-04-25,21.0,A
USGS,08109800,2000-04-26,21.0,A
USGS,08109800,2000-04-27,22.0,A
USGS,08109800,2000-04-28,21.0,A
USGS,08109800,2000-04-29,20.0,A
USGS,08109800,2000-04-30,20.0,A
USGS,08109800,2000-05-01,26.0,A
USGS,08109800,2000-05-02,165,A
USGS,08109800,2000-05-03,637,A
USGS,08109800,2000-05-04,1660,A
USGS,08109800,2000-05-05,810,A
USGS,08109800,2000-05-06,254,A
USGS,08109800,2000-05-07,106,A
USGS,08109800,2000-05-08,67.0,A
USGS,08109800,2000-05-09,48.0,A
USGS,08109800,2000-05-10,41.0,A
USGS,08109800,2000-05-11,43.0,A
USGS,08109800,2000-05-12,32.0,A
USGS,08109800,2000-05-13,31.0,A
USGS,08109800,2000-05-14,36.0,A
USGS,08109800,2000-05-15,30.0,A
USGS,08109800,2000-05-16,25.0,A
USGS,08109800,2000-05-17,23.0,A
USGS,08109800,2000-05-18,22.0,A
USGS,08109800,2000-05-19,22.0,A
USGS,08109800,2000-05-20,66.0,A
USGS,08109800,2000-05-21,156,A
USGS,08109800,2000-05-22,297,A
USGS,08109800,2000-05-23,231,A
USGS,08109800,2000-05-24,59.0,A
USGS,08109800,2000-05-25,37.0,A
USGS,08109800,2000-05-26,29.0,A
USGS,08109800,2000-05-27,25.0,A
USGS,08109800,2000-05-28,23.0,A
USGS,08109800,2000-05-29,22.0,A
USGS,08109800,2000-05-30,22.0,A
USGS,08109800,2000-05-31,20.0,A
USGS,08109800,2000-06-01,19.0,A
USGS,08109800,2000-06-02,20.0,A
USGS,08109800,2000-06-03,18.0,A
USGS,08109800,2000-06-04,17.0,A
USGS,08109800,2000-06-05,17.0,A
USGS,08109800,2000-06-06,18.0,A
USGS,08109800,2000-06-07,17.0,A
USGS,08109800,2000-06-08,17.0,A
USGS,08109800,2000-06-09,19.0,A
USGS,08109800,2000-06-10,25.0,A
USGS,08109800,2000-06-11,74.0,A
USGS,08109800,2000-06-12,158,A
USGS,08109800,2000-06-13,119,A
USGS,08109800,2000-06-14,45.0,A
USGS,08109800,2000-06-15,27.0,A
USGS,08109800,2000-06-16,23.0,A
USGS,08109800,2000-06-17,21.0,A
USGS,08109800,2000-06-18,24.0,A
USGS,08109800,2000-06-19,34.0,A
USGS,08109800,2000-06-20,27.0,A
USGS,08109800,2000-06-21,22.0,A
USGS,08109800,2000-06-22,19.0,A
USGS,08109800,2000-06-23,18.0,A
USGS,08109800,2000-06-24,16.0,A
USGS,08109800,2000-06-25,16.0,A
USGS,08109800,2000-06-26,17.0,A
USGS,08109800,2000-06-27,17.0,A
USGS,08109800,2000-06-28,17.0,A
