agency_cd,site_no,datetime,133946_00060_00003,133946_00060_00003_cd
USGS,08065800,2000-01-01,0.80,A
USGS,08065800,2000-01-02,0.99,A
USGS,08065800,2000-01-03,1.10,A
USGS,08065800,2000-01-04,1.10,A
USGS,08065800,2000-01-05,1.10,A
USGS,08065800,2000-01-06,1.20,A
USGS,08065800,2000-01-07,1.60,A
USGS,08065800,2000-01-08,2.70,A
USGS,08065800,2000-01-09,5.70,A
USGS,08065800,2000-01-10,36.0,A
USGS,08065800,2000-01-11,25.0,A
USGS,08065800,2000-01-12,10.0,A
USGS,08065800,2000-01-13,5.30,A
USGS,08065800,2000-01-14,2.80,A
USGS,08065800,2000-01-15,1.70,A
USGS,08065800,2000-01-16,1.30,A
USGS,08065800,2000-01-17,0.99,A
USGS,08065800,2000-01-18,0.79,A
USGS,08065800,2000-01-19,0.68,A
USGS,08065800,2000-01-20,0.56,A
USGS,08065800,2000-01-21,0.44,A
USGS,08065800,2000-01-22,0.54,A
USGS,08065800,2000-01-23,0.66,A
USGS,08065800,2000-01-24,0.64,A
USGS,08065800,2000-01-25,0.69,A
USGS,08065800,2000-01-26,0.74,A
USGS,08065800,2000-01-27,0.91,A
USGS,08065800,2000-01-28,0.96,A
USGS,08065800,2000-01-29,1.40,A
USGS,08065800,2000-01-30,1.70,A
USGS,08065800,2000-01-31,0.84,A
USGS,08065800,2000-02-01,0.65,A
USGS,08065800,2000-02-02,0.51,A
USGS,08065800,2000-02-03,0.47,A
USGS,08065800,2000-02-04,0.53,A
USGS,08065800,2000-02-05,0.58,A
USGS,08065800,2000-02-06,0.95,A
USGS,08065800,2000-02-07,0.64,A
USGS,08065800,2000-02-08,0.57,A
USGS,08065800,2000-02-09,0.57,A
USGS,08065800,2000-02-10,0.71,A
USGS,08065800,2000-02-11,0.74,A
USGS,08065800,2000-02-12,0.78,A
USGS,08065800,2000-02-13,0.78,A
USGS,08065800,2000-02-14,0.81,A
USGS,08065800,2000-02-15,0.88,A
USGS,08065800,2000-02-16,0.96,A
USGS,08065800,2000-02-17,0.97,A
USGS,08065800,2000-02-18,1.10,A
USGS,08065800,2000-02-19,1.20,A
USGS,08065800,2000-02-20,1.30,A
USGS,08065800,2000-02-21,1.20,A
USGS,08065800,2000-02-22,1.20,A
USGS,08065800,2000-02-23,1.90,A
USGS,08065800,2000-02-24,2.00,A
USGS,08065800,2000-02-25,3.10,A
USGS,08065800,2000-02-26,2.20,A
USGS,08065800,2000-02-27,2.20,A
USGS,08065800,2000-02-28,47.0,A
USGS,08065800,2000-02-29,35.0,A
USGS,08065800,2000-03-01,14.0,A
USGS,08065800,2000-03-02,7.10,A
USGS,08065800,2000-03-03,4.00,A
USGS,08065800,2000-03-04,2.60,A
USGS,08065800,2000-03-05,2.50,A
USGS,08065800,2000-03-06,6.50,A
USGS,08065800,2000-03-07,4.90,A
USGS,08065800,2000-03-08,2.80,A
USGS,08065800,2000-03-09,1.90,A
USGS,08065800,2000-03-10,2.00,A
USGS,08065800,2000-03-11,5.90,A
USGS,08065800,2000-03-12,79.0,A
USGS,08065800,2000-03-13,85.0,A
USGS,08065800,2000-03-14,26.0,A
USGS,08065800,2000-03-15,13.0,A
USGS,08065800,2000-03-16,7.60,A
USGS,08065800,2000-03-17,8.70,A
USGS,08065800,2000-03-18,125,A
USGS,08065800,2000-03-19,389,A
USGS,08065800,2000-03-20,100,A
USGS,08065800,2000-03-21,36.0,A
USGS,08065800,2000-03-22,18.0,A
USGS,08065800,2000-03-23,11.0,A
USGS,08065800,2000-03-24,7.50,A
USGS,08065800,2000-03-25,4.90,A
